id,owner_friend,dist,nb_copledgers,amount_copledgers,desc_score_mean,amount_friends,nb_friends,same_owner,music,live-performance,journalism,book-and-publishing,design-and-innovation,film-and-video,style,photography,social,web-and-tech,education,art,adventure-and-sport,food,ecology,contrib
0,0.0,0.079014,0.0,0.0,0.893994991935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176897848568,0.0,0.0,0.0,0.0
1,0.0,0.9456767,0.0049,339.0,0.861315066015,0.0,0.0,0.0,0.0,0.0,0.0,0.00145134531394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117920105856,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.887325569938,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.2469,36.0,0.886948774142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.07,1875.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00467305296469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0558,13748.0,0.895523956954,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233755421093,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,1.0,0.0271,10.0,0.869664232586,50.0,1.0,0.0,0.0,0.0,0.0,0.00298493684677,0.0,0.0,0.0,0.0,0.0,0.0,0.0109452736318,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,0.0296,190.0,0.850021367941,20.0,1.0,0.0,0.0,0.0,0.0,0.00298493684677,0.0,0.0,0.0,0.0,0.0,0.0,0.0109452736318,0.0,0.0,0.0,0.00572139303483,0.0
8,0.0,1.0,0.1741,935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,1.0,0.0835,515.0,0.917154205586,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
